sales_id,order_id,sale_date,product_code,customer_code,store_code,quantity,revenue,discount,profit
T0000106,O000053,2025-11-27,P0040,C00152,S020,2,109.1,10.91,31.22
T0000107,O000054,2025-07-27,P0024,C00126,S020,5,93.8,9.38,23.05
T0000108,O000054,2026-02-13,P0002,C00139,S003,1,57.29,2.86,30.01
T0000109,O000055,2025-10-25,P0038,C00160,S005,3,566.01,28.3,117.66
T0000110,O000055,2025-12-20,P0025,C00093,S001,4,216.6,0.0,124.43
T0000111,O000056,2026-12-07,P0015,C00121,S001,1,23.9,1.2,11.88
T0000112,O000056,2025-09-13,P0048,C00120,S003,1,249.82,24.98,110.28
T0000113,O000057,2025-05-06,P0027,C00034,S004,2,258.46,0.0,94.46
T0000114,O000057,2026-02-03,P0045,C00007,S013,3,21.03,1.05,10.45
T0000115,O000058,2024-05-06,P0018,C00063,S003,3,407.52,40.75,132.19
T0000116,O000058,2025-08-04,P0031,C00292,S002,5,299.85,29.99,62.52
T0000117,O000059,2025-09-16,P0011,C00004,S008,5,571.85,0.0,222.86
T0000118,O000059,2026-07-14,P0024,C00289,S019,1,120.05,18.01,29.82
T0000119,O000060,2025-05-25,P0038,C00176,S004,4,419.4,62.91,151.25
T0000120,O000060,2026-08-06,P0042,C00247,S009,2,230.46,11.52,115.83
T0000121,O000061,2024-07-01,P0013,C00117,S011,3,699.15,0.0,196.37
T0000122,O000061,2025-08-24,P0015,C00079,S003,2,183.76,0.0,75.9
T0000123,O000062,2024-04-30,P0023,C00161,S011,1,141.78,14.18,60.56
T0000124,O000062,2024-01-23,P0046,C00261,S015,5,1153.55,0.0,399.92
T0000125,O000063,2026-02-23,P0018,C00231,S019,5,478.9,23.94,147.52
T0000126,O000063,2025-03-27,P0013,C00225,S005,1,73.53,3.68,23.17
T0000127,O000064,2024-09-12,P0031,C00145,S010,3,179.28,0.0,73.76
T0000128,O000064,2025-06-22,P0029,C00123,S009,2,488.08,48.81,114.17
T0000129,O000065,2025-04-21,P0025,C00065,S008,4,190.36,19.04,82.66
T0000130,O000065,2025-03-21,P0028,C00103,S005,4,25.2,0.0,11.84
T0000131,O000066,2024-09-01,P0005,C00178,S014,5,528.15,0.0,156.3
T0000132,O000066,2025-12-27,P0034,C00032,S013,4,270.2,0.0,148.78
T0000133,O000067,2024-07-12,P0040,C00251,S006,1,32.19,3.22,14.19
T0000134,O000067,2025-11-02,P0050,C00133,S013,5,221.5,0.0,96.23
T0000135,O000068,2025-07-12,P0016,C00171,S011,4,491.64,0.0,150.28
T0000136,O000068,2024-09-09,P0020,C00079,S007,2,261.24,26.12,100.83
T0000137,O000069,2026-05-17,P0030,C00229,S013,1,65.74,6.57,20.66
T0000138,O000069,2024-04-01,P0020,C00212,S018,4,32.88,0.0,8.39
T0000139,O000070,2026-08-11,P0023,C00016,S018,3,493.68,0.0,127.96
T0000140,O000070,2024-06-26,P0019,C00011,S008,3,238.2,0.0,84.8
T0000141,O000071,2024-08-06,P0050,C00007,S015,5,172.6,25.89,22.14
T0000142,O000071,2026-11-16,P0041,C00099,S018,5,544.0,0.0,281.48
T0000143,O000072,2026-03-08,P0021,C00016,S020,5,923.4,0.0,536.61
T0000144,O000072,2026-01-24,P0024,C00207,S006,3,225.45,11.27,108.29
T0000145,O000073,2025-02-07,P0050,C00107,S006,5,524.4,52.44,112.03
T0000146,O000073,2024-03-09,P0041,C00167,S014,4,847.72,0.0,314.79
T0000147,O000074,2024-12-14,P0003,C00147,S002,2,24.0,3.6,2.69
T0000148,O000074,2026-07-26,P0015,C00154,S012,1,78.82,0.0,28.52
T0000149,O000075,2026-09-02,P0023,C00205,S006,2,450.54,0.0,142.94
T0000150,O000075,2026-05-10,P0040,C00267,S020,1,121.46,0.0,55.36
T0000151,O000076,2026-02-22,P0018,C00220,S009,2,217.08,32.56,60.59
T0000152,O000076,2024-10-12,P0007,C00296,S006,5,214.6,0.0,56.29
T0000153,O000077,2024-01-02,P0042,C00017,S006,2,284.64,28.46,72.74
T0000154,O000077,2025-03-18,P0039,C00030,S012,1,144.28,0.0,72.25
T0000155,O000078,2025-06-15,P0038,C00296,S014,1,159.04,7.95,52.87
T0000156,O000078,2024-12-18,P0004,C00084,S015,1,135.36,6.77,69.75
T0000157,O000079,2025-05-12,P0004,C00199,S013,2,18.86,0.94,5.41
T0000158,O000079,2026-08-21,P0019,C00188,S015,1,12.8,0.64,5.19
T0000159,O000080,2026-10-06,P0045,C00096,S005,1,128.14,19.22,36.0
T0000160,O000080,2025-11-27,P0028,C00256,S002,5,724.2,36.21,334.19
T0000161,O000081,2026-04-03,P0023,C00264,S013,1,185.57,9.28,39.13
T0000162,O000081,2024-11-19,P0024,C00238,S007,2,321.1,16.06,125.43
T0000163,O000082,2024-09-26,P0007,C00002,S002,4,383.52,38.35,139.84
T0000164,O000082,2024-01-16,P0016,C00177,S015,1,241.75,36.26,46.95
T0000165,O000083,2024-08-23,P0004,C00036,S009,4,260.04,0.0,91.24
T0000166,O000083,2025-03-25,P0025,C00005,S004,3,456.0,0.0,253.14
T0000167,O000084,2025-01-20,P0028,C00281,S012,5,125.85,6.29,53.22
T0000168,O000084,2026-04-09,P0019,C00082,S002,1,12.14,0.0,6.31
T0000169,O000085,2025-05-04,P0037,C00208,S002,4,829.84,82.98,337.74
T0000170,O000085,2024-08-16,P0021,C00013,S002,5,1065.55,0.0,319.51
T0000171,O000086,2025-10-16,P0020,C00141,S004,2,304.44,15.22,138.86
T0000172,O000086,2024-01-09,P0028,C00048,S007,5,425.0,0.0,181.21
T0000173,O000087,2024-04-02,P0010,C00035,S013,4,185.68,0.0,105.28
T0000174,O000087,2024-12-12,P0013,C00174,S015,2,70.54,7.05,32.28
T0000175,O000088,2026-10-12,P0018,C00049,S004,1,208.81,20.88,81.37
T0000176,O000088,2025-11-14,P0046,C00212,S007,4,350.12,0.0,169.51
T0000177,O000089,2025-07-31,P0046,C00182,S011,2,79.48,0.0,39.04
T0000178,O000089,2024-01-24,P0009,C00194,S010,5,41.5,6.22,17.77
T0000179,O000090,2024-08-26,P0001,C00206,S011,3,520.47,0.0,151.9
T0000180,O000090,2026-05-24,P0005,C00197,S011,5,487.2,0.0,251.47
T0000181,O000091,2024-02-29,P0048,C00240,S014,1,142.7,0.0,61.81
T0000182,O000091,2025-12-23,P0011,C00071,S003,3,172.47,0.0,51.42
T0000183,O000092,2026-07-12,P0013,C00004,S018,2,114.6,17.19,33.18
T0000184,O000092,2026-06-25,P0047,C00021,S001,5,169.9,0.0,59.87
T0000185,O000093,2024-06-08,P0019,C00061,S017,5,185.1,0.0,89.95
T0000186,O000093,2026-08-10,P0009,C00129,S014,3,215.28,10.76,108.81
T0000187,O000094,2026-02-10,P0006,C00191,S010,3,373.17,18.66,124.86
T0000188,O000094,2026-05-22,P0021,C00200,S019,2,304.72,15.24,70.54
T0000189,O000095,2026-11-29,P0035,C00167,S006,5,1102.25,55.11,532.43
T0000190,O000095,2025-07-20,P0011,C00012,S020,1,189.17,9.46,67.49
T0000191,O000096,2025-03-13,P0032,C00076,S008,5,635.6,0.0,340.29
T0000192,O000096,2025-09-22,P0022,C00151,S013,5,635.75,0.0,379.94
T0000193,O000097,2025-07-25,P0037,C00058,S014,5,732.8,73.28,366.33
T0000194,O000097,2024-10-29,P0049,C00168,S019,5,380.05,0.0,200.25
T0000195,O000098,2026-08-15,P0035,C00300,S010,5,68.55,0.0,28.98
T0000196,O000098,2024-08-04,P0003,C00062,S001,1,54.16,0.0,29.41
T0000197,O000099,2026-03-27,P0024,C00225,S002,5,420.15,0.0,121.75
T0000198,O000099,2026-07-14,P0002,C00040,S010,2,257.14,38.57,65.85
T0000199,O000100,2026-07-06,P0036,C00115,S015,4,371.84,0.0,125.4
T0000200,O000100,2025-07-21,P0033,C00153,S013,3,187.47,9.37,67.02
T0000201,O000101,2024-10-30,P0022,C00127,S018,5,889.4,0.0,454.54
T0000202,O000101,2025-12-11,P0002,C00162,S008,1,247.54,12.38,93.34
T0000203,O000102,2026-04-17,P0049,C00058,S020,1,50.08,5.01,10.44
T0000204,O000102,2025-08-08,P0028,C00183,S012,5,1230.0,123.0,424.74
T0000205,O000103,2025-08-12,P0010,C00158,S006,2,412.56,41.26,167.77
T0000206,O000103,2024-09-11,P0046,C00155,S020,3,712.26,71.23,329.23
T0000207,O000104,2025-11-06,P0040,C00181,S014,1,129.66,0.0,36.83
T0000208,O000104,2024-05-12,P0045,C00103,S001,3,273.84,0.0,132.06
T0000209,O000105,2024-05-19,P0022,C00025,S005,4,234.92,11.75,76.14
T0000210,O000105,2026-12-10,P0013,C00287,S006,1,137.77,6.89,29.54
T0000211,O000106,2026-12-08,P0025,C00284,S014,1,249.8,0.0,141.17
T0000212,O000106,2024-10-01,P0028,C00078,S017,1,247.48,0.0,124.73
T0000213,O000107,2024-01-28,P0016,C00133,S009,2,498.32,0.0,244.91
T0000214,O000107,2024-07-08,P0050,C00273,S006,1,183.56,9.18,100.49
T0000215,O000108,2025-06-12,P0007,C00267,S001,1,9.71,0.0,5.24
T0000216,O000108,2024-11-11,P0015,C00206,S007,4,945.88,0.0,337.37
T0000217,O000109,2025-07-31,P0023,C00263,S003,1,236.66,23.67,38.39
T0000218,O000109,2026-03-23,P0001,C00243,S020,1,8.78,0.0,3.33
T0000219,O000110,2026-05-16,P0014,C00082,S005,1,142.46,14.25,34.31
T0000220,O000110,2026-08-23,P0031,C00198,S017,1,210.11,0.0,100.96
T0000221,O000111,2024-10-21,P0008,C00020,S020,1,160.97,8.05,55.55
T0000222,O000111,2026-12-27,P0009,C00078,S007,3,721.59,36.08,272.18
T0000223,O000112,2026-12-23,P0024,C00069,S009,4,320.08,0.0,125.07
T0000224,O000112,2025-01-13,P0050,C00018,S007,3,231.12,34.67,98.39
T0000225,O000113,2024-10-15,P0010,C00177,S018,4,540.76,27.04,189.83
T0000226,O000113,2024-08-31,P0045,C00017,S004,4,227.56,11.38,100.42
T0000227,O000114,2024-06-13,P0009,C00008,S011,5,1031.8,0.0,420.31
T0000228,O000114,2025-02-12,P0041,C00110,S017,4,386.48,19.32,77.75
T0000229,O000115,2025-02-13,P0010,C00059,S017,3,173.61,0.0,69.15
T0000230,O000115,2025-05-15,P0009,C00257,S007,5,663.85,0.0,328.3
T0000231,O000116,2026-11-11,P0040,C00179,S016,5,227.6,11.38,112.85
T0000232,O000116,2025-04-14,P0039,C00233,S002,2,340.78,34.08,159.89
T0000233,O000117,2025-09-21,P0050,C00285,S009,2,117.14,0.0,62.88
T0000234,O000117,2026-02-21,P0032,C00069,S008,5,660.95,0.0,195.99
T0000235,O000118,2026-03-05,P0005,C00183,S002,5,964.1,0.0,329.77
T0000236,O000118,2026-08-31,P0012,C00262,S006,4,768.84,76.88,141.79
T0000237,O000119,2026-06-04,P0018,C00235,S014,5,775.15,0.0,235.82
T0000238,O000119,2024-12-14,P0026,C00216,S005,5,486.35,0.0,209.05
T0000239,O000120,2025-07-19,P0012,C00037,S017,5,849.6,42.48,362.37
T0000240,O000120,2025-11-20,P0019,C00194,S014,1,236.97,0.0,95.95
T0000241,O000121,2026-12-25,P0026,C00213,S011,2,434.28,65.14,78.41
T0000242,O000121,2025-10-10,P0041,C00221,S006,3,709.68,0.0,387.64
T0000243,O000122,2025-03-01,P0008,C00048,S002,4,652.24,97.84,197.15
T0000244,O000122,2025-09-03,P0050,C00113,S003,2,423.7,42.37,65.5
T0000245,O000123,2025-08-24,P0048,C00168,S016,3,691.23,0.0,230.14
T0000246,O000123,2025-08-09,P0049,C00102,S005,5,503.8,0.0,257.97
T0000247,O000124,2026-08-23,P0038,C00158,S019,4,932.0,0.0,384.9
T0000248,O000124,2024-09-17,P0035,C00071,S001,2,364.6,0.0,194.9
T0000249,O000125,2025-04-11,P0043,C00217,S002,1,65.46,6.55,14.75
T0000250,O000125,2025-05-20,P0024,C00092,S006,3,40.59,0.0,16.83
T0000251,O000126,2024-01-26,P0016,C00071,S008,4,945.88,94.59,221.1
T0000252,O000126,2024-03-14,P0048,C00097,S004,1,247.37,0.0,126.52
T0000253,O000127,2026-03-05,P0047,C00095,S001,2,498.74,24.94,240.76
T0000254,O000127,2025-03-04,P0001,C00165,S016,5,504.15,25.21,130.9
T0000255,O000128,2024-11-15,P0032,C00287,S020,2,210.78,0.0,117.8
T0000256,O000128,2026-01-28,P0038,C00062,S015,1,87.16,4.36,31.59
T0000257,O000129,2025-07-29,P0019,C00155,S006,2,99.88,9.99,47.77
T0000258,O000129,2025-05-16,P0009,C00229,S017,1,19.25,2.89,7.46
T0000259,O000130,2026-10-18,P0029,C00191,S002,1,23.5,0.0,12.66
T0000260,O000130,2026-09-21,P0033,C00156,S008,1,231.31,0.0,71.32
T0000261,O000131,2026-02-16,P0020,C00120,S006,2,380.38,0.0,226.09
T0000262,O000131,2025-07-21,P0023,C00031,S006,5,978.15,97.82,352.43
T0000263,O000132,2025-08-04,P0041,C00067,S004,2,314.08,15.7,83.6
T0000264,O000132,2025-02-15,P0013,C00264,S003,2,16.16,1.62,5.11
T0000265,O000133,2026-08-09,P0005,C00112,S001,3,169.83,0.0,73.5
T0000266,O000133,2025-01-24,P0006,C00146,S009,4,923.92,0.0,274.52
T0000267,O000134,2026-11-03,P0016,C00280,S012,3,18.42,0.0,5.35
T0000268,O000134,2025-06-05,P0040,C00146,S009,2,154.2,0.0,79.23
T0000269,O000135,2024-05-18,P0032,C00059,S014,5,924.9,46.24,399.3
T0000270,O000135,2026-09-23,P0041,C00134,S017,1,248.28,0.0,146.11
T0000271,O000136,2025-03-31,P0014,C00023,S014,5,1156.95,115.7,344.43
T0000272,O000136,2025-12-01,P0025,C00148,S004,2,111.16,0.0,51.76
T0000273,O000137,2024-09-15,P0011,C00092,S013,5,1127.6,112.76,476.55
T0000274,O000137,2024-04-02,P0013,C00076,S001,2,326.8,49.02,35.83
T0000275,O000138,2024-05-24,P0041,C00284,S018,3,197.46,0.0,78.39
T0000276,O000138,2025-03-10,P0029,C00243,S006,5,75.85,7.58,28.6
T0000277,O000139,2025-10-10,P0014,C00069,S003,5,1052.4,105.24,509.46
T0000278,O000139,2024-10-01,P0019,C00224,S019,4,267.52,0.0,91.18
T0000279,O000140,2024-04-08,P0007,C00283,S003,2,210.54,10.53,63.16
T0000280,O000140,2026-09-03,P0014,C00182,S014,4,877.56,43.88,177.09
T0000281,O000141,2024-08-03,P0026,C00146,S001,4,781.48,39.07,258.31
T0000282,O000141,2024-01-04,P0021,C00185,S001,5,1044.45,0.0,421.7
T0000283,O000142,2025-12-26,P0002,C00221,S009,5,776.0,0.0,386.54
T0000284,O000142,2025-11-29,P0032,C00069,S009,1,146.48,14.65,60.92
T0000285,O000143,2026-06-01,P0013,C00026,S017,2,11.72,0.59,5.11
T0000286,O000143,2025-11-20,P0049,C00152,S007,3,43.08,2.15,15.07
T0000287,O000144,2025-05-20,P0041,C00226,S007,2,374.78,18.74,78.87
T0000288,O000144,2024-02-11,P0019,C00284,S006,5,375.1,0.0,107.0
T0000289,O000145,2026-03-24,P0008,C00269,S016,3,134.46,0.0,75.05
T0000290,O000145,2024-11-03,P0010,C00189,S014,2,363.62,0.0,199.15
T0000291,O000146,2026-07-04,P0001,C00052,S012,3,308.76,0.0,182.02
T0000292,O000146,2026-10-15,P0008,C00250,S010,1,24.69,0.0,6.47
T0000293,O000147,2024-12-25,P0044,C00111,S010,4,257.32,0.0,70.75
T0000294,O000147,2024-12-21,P0008,C00165,S017,5,1149.55,0.0,553.85
T0000295,O000148,2025-06-24,P0009,C00163,S014,5,1034.45,103.44,301.11
T0000296,O000148,2024-03-19,P0017,C00153,S003,2,417.38,41.74,105.14
T0000297,O000149,2024-11-20,P0049,C00102,S004,2,156.02,15.6,70.11
T0000298,O000149,2025-12-12,P0047,C00246,S018,5,919.9,46.0,188.68
T0000299,O000150,2024-02-26,P0003,C00208,S006,4,53.76,5.38,18.71
T0000300,O000150,2026-06-12,P0043,C00249,S015,1,40.54,0.0,17.79
T0000301,O000151,2025-01-19,P0020,C00205,S007,4,241.36,24.14,47.69
T0000302,O000151,2024-03-07,P0046,C00105,S001,3,385.11,0.0,200.21
T0000303,O000152,2026-09-15,P0007,C00277,S006,1,168.07,16.81,26.23
T0000304,O000152,2025-08-27,P0005,C00137,S015,2,56.36,5.64,18.34
T0000305,O000153,2026-03-04,P0028,C00247,S015,5,926.05,0.0,414.07
T0000306,O000153,2025-02-14,P0035,C00220,S017,1,127.61,0.0,42.55
T0000307,O000154,2025-12-23,P0045,C00275,S014,5,219.15,10.96,105.57
T0000308,O000154,2024-04-13,P0017,C00264,S005,2,424.52,0.0,165.72
T0000309,O000155,2026-05-25,P0008,C00227,S004,3,394.8,19.74,198.31
T0000310,O000155,2026-06-15,P0010,C00014,S018,3,664.62,66.46,245.26
T0000311,O000156,2026-03-29,P0028,C00109,S020,5,651.8,65.18,100.45
T0000312,O000156,2025-07-26,P0020,C00144,S014,1,130.89,13.09,27.55
T0000313,O000157,2026-01-17,P0024,C00194,S003,2,111.86,11.19,25.03
T0000314,O000157,2024-05-08,P0012,C00108,S004,3,24.0,0.0,10.6
T0000315,O000158,2026-05-06,P0029,C00201,S013,1,79.07,0.0,33.07
T0000316,O000158,2024-05-24,P0019,C00240,S013,4,488.72,73.31,165.33
T0000317,O000159,2026-05-26,P0013,C00163,S011,5,726.3,36.32,348.99
T0000318,O000159,2025-07-28,P0020,C00107,S001,4,595.28,0.0,295.46
T0000319,O000160,2024-05-14,P0031,C00145,S020,5,1005.05,0.0,559.57
T0000320,O000160,2026-12-08,P0007,C00045,S001,2,451.28,22.56,202.07
T0000321,O000161,2025-03-22,P0006,C00217,S010,3,371.37,0.0,103.35
T0000322,O000161,2024-04-11,P0026,C00287,S017,4,660.8,0.0,254.22
T0000323,O000162,2026-02-14,P0022,C00168,S011,4,281.36,0.0,99.94
T0000324,O000162,2024-02-12,P0006,C00204,S014,2,55.9,0.0,18.58
T0000325,O000163,2024-12-17,P0038,C00255,S002,5,1052.85,0.0,624.14
T0000326,O000163,2024-10-21,P0043,C00113,S005,1,191.91,0.0,73.44
T0000327,O000164,2024-10-08,P0037,C00181,S011,3,573.18,57.32,106.17
T0000328,O000164,2024-01-23,P0021,C00105,S019,5,304.3,0.0,126.43
T0000329,O000165,2026-11-07,P0002,C00284,S017,5,1202.75,0.0,626.9
T0000330,O000165,2025-01-22,P0036,C00054,S017,5,988.9,0.0,312.08
T0000331,O000166,2026-11-15,P0045,C00111,S010,4,817.36,81.74,371.22
T0000332,O000166,2024-11-22,P0031,C00126,S018,3,354.45,35.44,72.17
T0000333,O000167,2025-03-14,P0013,C00251,S002,5,315.3,47.3,98.59
T0000334,O000167,2024-11-28,P0028,C00047,S020,2,341.12,0.0,90.74
T0000335,O000168,2026-03-27,P0049,C00199,S010,5,1015.9,50.8,327.2
T0000336,O000168,2025-08-28,P0002,C00250,S018,4,311.48,15.57,99.13
T0000337,O000169,2026-09-09,P0028,C00021,S005,3,84.36,0.0,32.13
T0000338,O000169,2024-07-21,P0017,C00283,S020,4,90.8,0.0,48.78
T0000339,O000170,2026-08-28,P0004,C00176,S019,3,459.66,45.97,156.44
